pago_id;monto;fecha;id_usuario;preorden;id_proveedor;id_videojuego;subs_id
4643;9100;12-05-20;106;FALSE;3;15;
5081;9100;20-06-21;82;FALSE;3;15;
5109;9100;05-01-21;83;FALSE;3;15;
3961;9100;03-03-21;125;FALSE;3;15;
4024;9100;16-10-20;89;FALSE;3;15;
4812;9100;23-02-21;150;FALSE;3;15;
4403;9100;01-09-20;110;FALSE;3;15;
3656;9100;13-04-21;9;FALSE;3;15;
6225;9100;14-08-21;135;FALSE;3;15;
3688;9100;23-02-20;97;FALSE;3;15;
4441;9100;24-04-20;11;FALSE;3;15;
5403;9100;05-05-20;84;FALSE;3;15;
4272;9100;29-03-21;79;FALSE;3;15;
4253;13000;08-09-21;143;FALSE;4;15;
4550;13000;31-03-20;117;FALSE;4;15;
3737;13000;27-05-20;108;FALSE;4;15;
3760;13000;11-04-21;116;FALSE;4;15;
5944;13000;29-10-20;46;FALSE;4;15;
5573;13000;01-10-20;36;FALSE;4;15;
5554;14300;28-06-21;38;FALSE;5;15;
5422;14300;26-06-20;136;FALSE;5;15;
3982;14300;16-07-20;77;FALSE;5;15;
5024;14300;04-08-21;121;FALSE;5;15;
5245;14300;18-10-20;88;FALSE;5;15;
4172;14300;18-07-20;112;FALSE;5;15;
4895;14300;09-08-21;47;FALSE;5;15;
4350;32000;13-09-21;148;FALSE;1;16;
3523;32000;14-05-20;22;FALSE;1;16;
4945;32000;14-02-21;128;FALSE;1;16;
6294;32000;16-02-21;94;FALSE;1;16;
4918;32000;05-01-20;47;FALSE;1;16;
4021;32000;09-11-21;89;FALSE;1;16;
3482;32000;04-09-20;102;FALSE;1;16;
4109;52000;22-05-20;40;FALSE;2;16;
5838;52000;22-05-21;45;FALSE;2;16;
5478;52000;07-04-21;19;FALSE;2;16;
4260;52000;29-05-20;79;FALSE;2;16;
5996;52000;25-12-20;98;FALSE;2;16;
4508;52000;06-10-20;74;FALSE;2;16;
4786;52000;02-02-20;64;FALSE;2;16;
5331;52000;19-09-20;32;FALSE;3;16;
4806;52000;29-11-20;150;FALSE;3;16;
4405;52000;10-09-21;110;FALSE;3;16;
3546;52000;19-02-20;145;FALSE;3;16;
5734;52000;14-02-20;80;FALSE;3;16;
6223;52000;23-05-21;135;FALSE;3;16;
4305;52000;21-05-20;105;FALSE;3;16;
5265;52000;26-07-20;88;FALSE;3;16;
5079;52000;24-09-20;82;FALSE;3;16;
4446;52000;08-01-21;11;FALSE;3;16;
5639;52000;13-07-20;131;FALSE;3;16;
3584;52000;04-12-21;104;FALSE;3;16;
3774;52000;01-02-20;116;FALSE;3;16;
4663;52000;19-03-21;142;FALSE;3;16;
5132;40000;29-07-21;28;FALSE;4;16;
3743;40000;13-08-21;108;FALSE;4;16;
4128;40000;19-01-21;54;FALSE;4;16;
3650;40000;11-05-20;9;FALSE;4;16;
4848;40000;05-10-20;141;FALSE;4;16;
6329;40000;14-03-21;76;FALSE;4;16;
4959;40000;13-06-20;111;FALSE;4;16;
5028;40000;04-03-21;121;FALSE;4;16;
4877;40000;26-11-20;103;FALSE;4;16;
4035;40000;13-06-20;96;FALSE;5;16;
4607;40000;18-07-21;120;FALSE;5;16;
3497;43120;07-09-20;102;TRUE;1;21;
3904;39200;09-02-20;127;FALSE;1;21;
6198;43120;17-06-20;135;TRUE;1;21;
5038;43120;08-04-21;121;TRUE;1;21;
4650;43120;29-06-21;142;TRUE;1;21;
4483;39200;30-11-20;11;FALSE;1;21;
5165;43120;13-01-21;28;TRUE;1;21;
6126;43120;13-01-21;140;TRUE;1;21;
4863;43120;15-04-20;141;TRUE;1;21;
3928;70070;09-02-21;99;TRUE;2;21;
4110;63700;01-04-20;40;FALSE;2;21;
4624;70070;06-03-21;120;TRUE;2;21;
5106;63700;21-06-20;83;FALSE;2;21;
5077;70070;29-04-21;82;TRUE;2;21;
4259;70070;17-03-20;79;TRUE;2;21;
5515;63700;04-08-21;38;FALSE;2;21;
5259;63700;11-09-20;88;FALSE;2;21;
6069;70070;21-06-20;113;TRUE;2;21;
3588;63700;09-03-21;115;FALSE;2;21;
3693;34300;30-09-21;97;FALSE;3;21;
4229;37730;18-02-20;143;TRUE;3;21;
4300;37730;15-04-20;105;TRUE;3;21;
4484;34300;20-02-20;74;FALSE;3;21;
4927;49000;08-01-20;47;FALSE;4;21;
3768;53900;21-07-20;116;TRUE;4;21;
6325;49000;27-02-20;76;FALSE;4;21;
5759;53900;13-10-21;80;TRUE;4;21;
5627;53900;29-12-20;131;TRUE;4;21;
4545;49000;03-09-20;117;FALSE;4;21;
4201;53900;08-04-20;93;TRUE;4;21;
3542;63700;05-06-21;22;FALSE;5;21;
4749;70070;26-08-21;124;TRUE;5;21;
5411;63700;02-05-21;136;FALSE;5;21;
5858;18000;30-12-20;45;FALSE;1;37;
4947;18000;31-05-21;128;FALSE;1;37;
3906;18000;27-01-20;127;FALSE;1;37;
5700;18000;01-06-21;139;FALSE;1;37;
4016;18000;09-02-21;89;FALSE;1;37;
5725;12600;27-06-20;80;FALSE;2;37;
5262;12600;15-04-21;88;FALSE;2;37;
6164;12600;19-11-21;129;FALSE;2;37;
4124;12600;12-12-20;54;FALSE;2;37;
4702;12600;28-08-21;133;FALSE;2;37;
3646;12600;05-01-21;9;FALSE;2;37;
5138;12600;15-02-21;28;FALSE;2;37;
4820;12600;24-02-20;150;FALSE;2;37;
5642;14400;15-09-20;131;FALSE;3;37;
6228;14400;28-08-20;135;FALSE;3;37;
4973;14400;02-07-21;111;FALSE;3;37;
4404;14400;18-04-21;110;FALSE;3;37;
5047;14400;24-06-20;121;FALSE;3;37;
4743;14400;14-03-21;124;FALSE;3;37;
4224;14400;07-10-20;143;FALSE;3;37;
4095;14400;30-11-20;137;FALSE;3;37;
5580;18000;15-04-21;36;FALSE;4;37;
5498;18000;14-08-21;91;FALSE;4;37;
5988;18000;24-03-21;98;FALSE;4;37;
4556;18000;06-10-20;117;FALSE;4;37;
5526;18000;16-06-20;38;FALSE;4;37;
4859;18000;01-03-20;141;FALSE;4;37;
4285;18000;19-01-20;79;FALSE;4;37;
4168;14400;27-09-21;112;FALSE;5;37;
3543;14400;27-12-20;22;FALSE;5;37;
5168;14400;25-02-20;85;FALSE;5;37;
4581;14400;09-09-20;126;FALSE;5;37;
4654;7000;25-07-21;142;FALSE;1;38;
4022;7000;23-04-20;89;FALSE;1;38;
5696;7000;07-10-20;139;FALSE;1;38;
4070;7000;16-03-20;137;FALSE;1;38;
3907;7000;11-11-20;127;FALSE;1;38;
3610;7000;18-07-20;115;FALSE;1;38;
4105;7000;10-04-20;40;FALSE;1;38;
4434;7000;31-03-21;81;FALSE;1;38;
3927;12000;08-11-20;99;FALSE;2;38;
3826;12000;07-02-21;101;FALSE;2;38;
6343;12000;05-05-20;100;FALSE;2;38;
5428;12000;05-02-21;136;FALSE;2;38;
5925;12000;27-07-21;46;FALSE;2;38;
4504;12000;11-02-21;74;FALSE;2;38;
5843;12000;23-07-21;45;FALSE;2;38;
5514;12000;22-06-20;38;FALSE;2;38;
5567;10000;28-10-21;36;FALSE;4;38;
6052;10000;14-10-21;113;FALSE;4;38;
5834;10000;01-08-20;147;FALSE;4;38;
3811;10000;23-01-21;107;FALSE;4;38;
4933;10000;31-01-20;47;FALSE;4;38;
5243;9000;08-09-21;88;FALSE;5;38;
6176;9000;04-10-21;130;FALSE;5;38;
5070;9000;06-01-21;82;FALSE;5;38;
3873;9000;06-10-20;146;FALSE;5;38;
5023;9000;09-03-21;121;FALSE;5;38;
4043;9000;20-01-21;96;FALSE;5;38;
6207;9000;22-06-20;135;FALSE;5;38;
5841;19000;23-08-21;45;FALSE;2;39;
6339;19000;16-07-21;76;FALSE;2;39;
3710;19000;21-08-21;97;FALSE;2;39;
5197;19000;17-03-21;85;FALSE;2;39;
4114;19000;04-10-20;54;FALSE;2;39;
4376;19000;04-11-20;23;FALSE;2;39;
5995;19000;20-12-20;98;FALSE;2;39;
4818;19000;17-08-21;150;FALSE;2;39;
4418;19000;22-04-20;110;FALSE;2;39;
3817;19000;28-03-21;101;FALSE;2;39;
5656;19000;30-08-21;86;FALSE;2;39;
4505;19000;16-09-20;74;FALSE;2;39;
5094;19000;05-03-20;83;FALSE;2;39;
4049;19000;19-03-20;96;FALSE;2;39;
6102;19000;03-09-21;140;FALSE;2;39;
5923;19000;09-05-21;46;FALSE;2;39;
5524;19000;23-08-20;38;FALSE;4;39;
6154;19000;01-08-21;129;FALSE;4;39;
5895;19000;04-07-20;69;FALSE;4;39;
5568;19000;10-10-21;36;FALSE;4;39;
6090;19000;04-10-20;78;FALSE;4;39;
4853;19000;05-10-20;141;FALSE;4;39;
5607;19000;25-09-21;134;FALSE;5;39;
4963;19000;20-03-21;111;FALSE;5;39;
3979;19000;28-01-20;77;FALSE;5;39;
6175;19000;06-08-21;130;FALSE;5;39;
3539;19000;03-09-21;22;FALSE;5;39;
4998;19000;23-08-20;87;FALSE;5;39;
5770;5250;21-12-20;10;FALSE;1;40;
4517;5250;04-08-20;74;FALSE;1;40;
4480;5250;22-03-21;11;FALSE;1;40;
