id_usuario;id_videojuego;veredicto;titulo;texto
89;5503;positivo;Es el guaripolo de los videojuegos;A decir verdad, encuentro que este videojuego va a revolucionar todo el género
110;493;positivo;Buena inversión;A decir verdad, encuentro que este videojuego va a revolucionar todo el género
64;1068;positivo;Pero que ofertón;A mi hijo le encanta
97;126;positivo;Mejor juego o mejor juego;A mi hijo le encanta
99;1384;positivo;No decepciona, incluso sorprende;A mi hijo le encanta
116;1070;positivo;Fantabuloso;A mi hijo le encanta
22;9730;positivo;El mejor Juego del Mundo;Ahhhh... un manjarsh
110;375;positivo;Es el guaripolo de los videojuegos;Ahhhh... un manjarsh
116;20;positivo;Nisiquiera la mejor de las odas podría describir este juego;Ahhhh... un manjarsh
131;1068;positivo;El mejor Juego del Mundo;Ahhhh... un manjarsh
145;5503;positivo;Nisiquiera la mejor de las odas podría describir este juego;Ahhhh... un manjarsh
54;74;negativo;No sé como logró subir por los 9 círculos del infierno este juego;Cómo arruinar tu vida en 1 simple paso: compra este juego
97;375;negativo;Si tuviera que decidir entre un pato y un conejo este juego sería un conejo;Cómo arruinar tu vida en 1 simple paso: compra este juego
102;49;negativo;Este juego viene directamente de Mordor;Cómo arruinar tu vida en 1 simple paso: compra este juego
112;498;negativo;No sé como logró subir por los 9 círculos del infierno este juego;Cómo arruinar tu vida en 1 simple paso: compra este juego
112;76;negativo;Parace una broma que existe un juego como este;Cómo arruinar tu vida en 1 simple paso: compra este juego
47;74;positivo;Me encantaría saber si tiene una secuela;Consistente, repleto de contenido, soprendentemente bueno
54;549;positivo;Es el guaripolo de los videojuegos;Consistente, repleto de contenido, soprendentemente bueno
77;493;positivo;Me soprende que no tenga más premios;Consistente, repleto de contenido, soprendentemente bueno
89;498;positivo;Increíble nada más que decir;Consistente, repleto de contenido, soprendentemente bueno
107;1384;positivo;No decepciona, incluso sorprende;Consistente, repleto de contenido, soprendentemente bueno
119;2031;positivo;No decepciona, incluso sorprende;Consistente, repleto de contenido, soprendentemente bueno
131;74;positivo;Pero que ofertón;Consistente, repleto de contenido, soprendentemente bueno
150;1068;positivo;Si este juego fuera One Piece, me vería los 1000 episodios;Consistente, repleto de contenido, soprendentemente bueno
107;74;positivo;Mejor juego o mejor juego;El problema es que este juego No puede ser mejor
108;20;positivo;Es el guaripolo de los videojuegos;El problema es que este juego No puede ser mejor
111;6036;positivo;Nisiquiera la mejor de las odas podría describir este juego;El problema es que este juego No puede ser mejor
125;5503;positivo;Horas de diversión;El problema es que este juego No puede ser mejor
126;1074;positivo;Es el guaripolo de los videojuegos;El problema es que este juego No puede ser mejor
9;126;negativo;Muy Malo;Este juego viene directamente de Mordor
40;498;negativo;Peor que no ir vestido de traje a un bar;Este juego viene directamente de Mordor
64;11208;negativo;Em... tenía final el juego?;Este juego viene directamente de Mordor
104;20;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;Este juego viene directamente de Mordor
135;1068;negativo;No entiendo por qué no regalan este juego;Este juego viene directamente de Mordor
89;1068;negativo;Peor juego;Honestamente prefiero jugar a mirar el techo
96;17000;negativo;Em... tenía final el juego?;Honestamente prefiero jugar a mirar el techo
115;1384;negativo;Peor juego;Honestamente prefiero jugar a mirar el techo
143;18;negativo;Y pensar que me perdí la boda de mi hija por este juego;Honestamente prefiero jugar a mirar el techo
77;9630;positivo;Me soprende que no tenga más premios;Horas de diversión para amigos y familia
97;17000;positivo;Vine buscando cobre y encontré oro;Horas de diversión para amigos y familia
99;2031;positivo;No decepciona, incluso sorprende;Horas de diversión para amigos y familia
110;230;positivo;No decepciona, incluso sorprende;Horas de diversión para amigos y familia
110;549;positivo;No me calza el precio con la calidad del juego, debería costar mucho más;Horas de diversión para amigos y familia
148;239;positivo;Más bueno que el pan con chancho;Horas de diversión para amigos y familia
99;18;positivo;Nisiquiera la mejor de las odas podría describir este juego;Ideal para la pandemia
145;239;positivo;Buena inversión;Ideal para la pandemia
146;74;positivo;Mejor juego o mejor juego;Ideal para la pandemia
54;239;positivo;El mejor Juego del Mundo;Interesante
120;493;positivo;Mejor juego o mejor juego;Interesante
125;7334;positivo;Increíble nada más que decir;Interesante
125;18;positivo;Más bueno que el pan con chancho;Interesante
41;1074;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;La dificultad es terriblemente alta
47;7334;negativo;Es más malo que malini;La dificultad es terriblemente alta
90;2031;negativo;Es más malo que malini;La dificultad es terriblemente alta
103;7334;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;La dificultad es terriblemente alta
112;9630;negativo;Es más malo que malini;La dificultad es terriblemente alta
133;2031;negativo;Peor juego;La dificultad es terriblemente alta
146;1070;negativo;Peor juego;La dificultad es terriblemente alta
11;11208;negativo;Em... tenía final el juego?;Más malo que la pizza helada
77;9730;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Más malo que la pizza helada
102;1068;negativo;Es más malo que malini;Más malo que la pizza helada
106;493;negativo;Em... tenía final el juego?;Más malo que la pizza helada
106;1384;negativo;Parace una broma que existe un juego como este;Más malo que la pizza helada
107;18;negativo;Parace una broma que existe un juego como este;Más malo que la pizza helada
112;1068;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Más malo que la pizza helada
120;6036;negativo;tiempo y dinero tirados a la basura;Más malo que la pizza helada
122;11208;negativo;Muy Malo;Más malo que la pizza helada
146;76;negativo;Peor juego;Más malo que la pizza helada
54;17000;positivo;Horas de diversión;Me acabo de echar 3 ramos, pero valió la pena
106;74;positivo;No decepciona, incluso sorprende;Me acabo de echar 3 ramos, pero valió la pena
115;126;positivo;Me encantaría saber si tiene una secuela;Me acabo de echar 3 ramos, pero valió la pena
124;7334;positivo;Nisiquiera la mejor de las odas podría describir este juego;Me acabo de echar 3 ramos, pero valió la pena
125;74;positivo;Es el guaripolo de los videojuegos;Me acabo de echar 3 ramos, pero valió la pena
12;74;positivo;Me encantaría saber si tiene una secuela;Me encantó, nada más que decir
107;731;positivo;Es el guaripolo de los videojuegos;Me encantó, nada más que decir
143;74;positivo;No decepciona, incluso sorprende;Me encantó, nada más que decir
22;2031;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
96;239;negativo;Muy Malo;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
100;74;negativo;Se podrá solicitar la devolución del tiempo perdido en este juego?;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
105;1074;negativo;Peor que no ir vestido de traje a un bar;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
120;2031;negativo;Podré ser feo, pero definitivamente soy mejor que este juego... ok no;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
127;26758;negativo;Muy Malo;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
147;74;negativo;Peor juego;Me entraron a robar a la casa, luego los ladrones me vinieron personalmente a dejar el videojuego devuelta
22;1384;positivo;No me calza el precio con la calidad del juego, debería costar mucho más;Me recuerda cuando era joven
