id_videojuego;titulo;puntuacion;clasificacion;fecha_de_lanzamiento;beneficio_preorden;mensualidad;nombre
15;Fallout 3;86.43;Eighteen;27-10-08;ninguno;;Supervivencia
15;Fallout 3;86.43;Eighteen;27-10-08;ninguno;;Accion
15;Fallout 3;86.43;Eighteen;27-10-08;ninguno;;Supervivencia
15;Fallout 3;86.43;Eighteen;27-10-08;ninguno;;Accion
16;Fallout: New Vegas;84.59;M;18-10-10;ninguno;;Accion
18;Max Payne;80.2;M;22-07-01;;5000;Accion
20;BioShock;89.99;M;20-08-07;;8000;Historicos
20;BioShock;89.99;M;20-08-07;;8000;RPG
20;BioShock;89.99;M;20-08-07;;8000;Historicos
20;BioShock;89.99;M;20-08-07;;8000;RPG
21;BioShock 2;83.96;Eighteen;02-08-10;contenido adicional exclusivo;;Aventura
21;BioShock 2;83.96;Eighteen;02-08-10;contenido adicional exclusivo;;Ciencia Ficcion
21;BioShock 2;83.96;Eighteen;02-08-10;contenido adicional exclusivo;;Aventura
21;BioShock 2;83.96;Eighteen;02-08-10;contenido adicional exclusivo;;Ciencia Ficcion
37;Dead Space;86.76;Eighteen;13-10-08;ninguno;;FPS
38;Dead Space 2;88.22;Eighteen;24-01-11;ninguno;;Supervivencia
39;Mafia;75.4;Eighteen;27-08-02;ninguno;;FPS
39;Mafia;75.4;Eighteen;27-08-02;ninguno;;Open world
39;Mafia;75.4;Eighteen;27-08-02;ninguno;;FPS
39;Mafia;75.4;Eighteen;27-08-02;ninguno;;Open world
40;Mafia II;77.12;Eighteen;23-08-10;ninguno;;Fantasia
40;Mafia II;77.12;Eighteen;23-08-10;ninguno;;Historicos
40;Mafia II;77.12;Eighteen;23-08-10;ninguno;;Fantasia
40;Mafia II;77.12;Eighteen;23-08-10;ninguno;;Historicos
43;Deus Ex: Human Revolution;88.26;M;22-08-11;ninguno;;Sigilo
59;The Elder Scrolls IV: Oblivion;89.85;M;19-03-06;elementos visuales;;Accion
71;Portal;83.49;T;10-09-07;ninguno;;Platforma
72;Portal 2;92.05;E10;18-04-11;ninguno;;FPS
73;Mass Effect;87.48;M;19-11-07;ninguno;;Ciencia Ficcion
74;Mass Effect 2;93.56;Eighteen;25-01-10;;4000;Simulador
75;Mass Effect 3;88.56;M;03-05-12;contenido adicional exclusivo;;Ciencia Ficcion
76;Dragon Age: Origins;88.57;M;11-02-09;;9500;RPG
109;L.A. Noire;86.32;Eighteen;16-05-11;contenido adicional exclusivo;;Thriller
109;L.A. Noire;86.32;Eighteen;16-05-11;contenido adicional exclusivo;;Open world
109;L.A. Noire;86.32;Eighteen;16-05-11;contenido adicional exclusivo;;Thriller
109;L.A. Noire;86.32;Eighteen;16-05-11;contenido adicional exclusivo;;Open world
