id_videojuego;nombre
1164;Platforma
431;Aventura
1074;Accion
6036;Aventura
1985;Aventura
730;Open world
1026;Accion
15;Supervivencia
231;FPS
1985;Tactical
979;Accion
1009;Sigilo
9630;Accion
11133;Open world
72;FPS
472;Aventura
375;Sigilo
545;Historicos
1020;Aventura
7342;Accion
14593;Aventura
18;Accion
1262;Estrategia
623;Accion
116;RPG
375;Estrategia
109;Thriller
20;Historicos
1970;Accion
1352;Fantasia
733;Comedia
1121;Sigilo
1802;Ciencia Ficcion
2155;Accion
1164;Aventura
20;RPG
6801;FPS
126;Hack and slash/Beat 'em up
39;FPS
1029;Aventura
128;Aventura
9630;Supervivencia
733;Open world
732;Open world
960;Thriller
113;Sandbox
493;Misterio
19560;Aventura
512;Platforma
2207;Fantasia
565;Historicos
75;Ciencia Ficcion
233;Accion
501;Sigilo
40;Fantasia
231;Thriller
6036;Supervivencia
2993;Drama
11156;Ciencia Ficcion
73;Ciencia Ficcion
16;Accion
9730;Open world
1068;Accion
379;Drama
545;FPS
731;Accion
7323;Aventura
7323;Horror
76;RPG
7599;Accion
559;Sigilo
2031;FPS
866;Estrategia
25076;FPS
1262;Fantasia
529;Open world
59;Accion
17000;Negocio
7331;Aventura
1887;Aventura
358;Accion
2207;Puzzle
730;FPS
7334;Fantasia
39;Open world
1942;Fantasia
7346;Sandbox
38;Supervivencia
40;Historicos
8173;FPS
1372;Accion
12517;Aventura
478;Aventura
113;Ciencia Ficcion
1121;Accion
1011;Accion
109;Open world
17000;RPG
537;Fantasia
1871;Aventura
37;FPS
230;Real Time Strategy (RTS)
121;Simulador
500;Accion
127;Sigilo
1384;FPS
26758;Sandbox
11198;Indie
1070;Platforma
512;Fantasia
5503;Open world
434;Open world
343;Accion
498;Ciencia Ficcion
866;Turn-based strategy (TBS)
239;Guerra
21;Aventura
71;Platforma
7351;Ciencia Ficcion
7342;Horror
1029;Fantasia
247;Ciencia Ficcion
538;Drama
379;FPS
21;Ciencia Ficcion
132;Guerra
549;Historicos
6801;Historicos
19565;Drama
538;Accion
1331;Indie
427;Aventura
7346;Fantasia
533;Sigilo
12517;RPG
43;Sigilo
7344;Indie
327;Historicos
124;Supervivencia
74;Simulador
431;Fantasia
1266;Open world
1011;FPS
11208;Hack and slash/Beat 'em up
974;Horror
3025;Sigilo
15;Accion
673;Accion
551;Fantasia
622;FPS
